 Format                 IAGA-2002                                    |
 Source of Data         WDC for Geomagnetism, Kyoto                  |
 Station Name           AE Indices                                   |
 IAGA CODE              AE                                           |
 Geodetic Latitude                                                   |
 Geodetic Longitude                                                  |
 Elevation                                                           |
 Reported               AE,AU,AL,AO                                  |
 Sensor Orientation                                                  |
 Digital Sampling                                                    |
 Data Interval Type     1-hour                                       |
 Data Type              Provisional                                  |
 # Converted to IAGA2002 format                                      |
 #   by WDC for Geomagnetism, Kyoto. 2025-07-01                      |
 # The values in the raw of 00:00:00:00.000 are those converted      |
 #  from those in the column of 21-24 which are usually              |
 #  the mean values between 00:00UT and 01:00UT, etc..               |
DATE       TIME         DOY     AE        AU        AL        AO     |
1989-03-05 01:00:00.000 064       144.00     80.00    -63.00      7.00
1989-03-05 02:00:00.000 064       271.00    110.00   -160.00    -24.00
1989-03-05 03:00:00.000 064       222.00     87.00   -134.00    -22.00
1989-03-05 04:00:00.000 064       263.00    148.00   -114.00     16.00
1989-03-05 05:00:00.000 064       362.00    148.00   -213.00    -32.00
1989-03-05 06:00:00.000 064       563.00    193.00   -369.00    -87.00
1989-03-05 07:00:00.000 064       755.00    161.00   -593.00   -215.00
1989-03-05 08:00:00.000 064       600.00    209.00   -390.00    -89.00
1989-03-05 09:00:00.000 064       256.00    125.00   -130.00     -2.00
1989-03-05 10:00:00.000 064       446.00    187.00   -259.00    -36.00
1989-03-05 11:00:00.000 064      1325.00    145.00  -1179.00   -516.00
1989-03-05 12:00:00.000 064       781.00    157.00   -623.00   -232.00
1989-03-05 13:00:00.000 064       205.00    123.00    -81.00     20.00
1989-03-05 14:00:00.000 064       578.00    198.00   -378.00    -89.00
1989-03-05 15:00:00.000 064       251.00     87.00   -164.00    -37.00
1989-03-05 16:00:00.000 064       124.00     77.00    -46.00     15.00
1989-03-05 17:00:00.000 064       128.00     67.00    -60.00      3.00
1989-03-05 18:00:00.000 064       278.00    108.00   -169.00    -29.00
1989-03-05 19:00:00.000 064       303.00     94.00   -207.00    -56.00
1989-03-05 20:00:00.000 064       149.00     66.00    -82.00     -7.00
1989-03-05 21:00:00.000 064       202.00    112.00    -90.00     10.00
1989-03-05 22:00:00.000 064       346.00     81.00   -264.00    -90.00
1989-03-05 23:00:00.000 064       302.00     91.00   -209.00    -58.00
1989-03-06 00:00:00.000 065       229.00     81.00   -147.00    -32.00
1989-03-06 01:00:00.000 065       311.00    107.00   -203.00    -47.00
1989-03-06 02:00:00.000 065       273.00     74.00   -198.00    -62.00
1989-03-06 03:00:00.000 065       158.00     76.00    -81.00     -2.00
1989-03-06 04:00:00.000 065       200.00     89.00   -110.00    -10.00
1989-03-06 05:00:00.000 065       251.00     93.00   -157.00    -31.00
1989-03-06 06:00:00.000 065       132.00     58.00    -73.00     -7.00
1989-03-06 07:00:00.000 065        69.00     58.00    -10.00     23.00
1989-03-06 08:00:00.000 065       361.00    150.00   -210.00    -29.00
1989-03-06 09:00:00.000 065       513.00    151.00   -361.00   -104.00
1989-03-06 10:00:00.000 065       268.00     81.00   -186.00    -52.00
1989-03-06 11:00:00.000 065       215.00     93.00   -121.00    -13.00
1989-03-06 12:00:00.000 065       361.00     74.00   -286.00   -105.00
1989-03-06 13:00:00.000 065       327.00    116.00   -210.00    -46.00
1989-03-06 14:00:00.000 065       560.00    298.00   -262.00     18.00
1989-03-06 15:00:00.000 065       554.00    207.00   -345.00    -68.00
1989-03-06 16:00:00.000 065       255.00    101.00   -152.00    -25.00
1989-03-06 17:00:00.000 065       256.00     93.00   -161.00    -34.00
1989-03-06 18:00:00.000 065       318.00    130.00   -187.00    -28.00
1989-03-06 19:00:00.000 065       366.00    134.00   -231.00    -48.00
1989-03-06 20:00:00.000 065       539.00    184.00   -354.00    -84.00
1989-03-06 21:00:00.000 065       271.00    127.00   -143.00     -8.00
1989-03-06 22:00:00.000 065       239.00    105.00   -134.00    -14.00
1989-03-06 23:00:00.000 065       466.00    169.00   -296.00    -62.00
1989-03-07 00:00:00.000 066       544.00    237.00   -305.00    -33.00
1989-03-07 01:00:00.000 066       328.00    188.00   -139.00     24.00
1989-03-07 02:00:00.000 066       307.00    168.00   -138.00     15.00
1989-03-07 03:00:00.000 066       165.00    122.00    -41.00     40.00
1989-03-07 04:00:00.000 066       443.00    114.00   -327.00   -105.00
1989-03-07 05:00:00.000 066       583.00    204.00   -378.00    -86.00
1989-03-07 06:00:00.000 066       239.00    142.00    -96.00     22.00
1989-03-07 07:00:00.000 066       119.00     90.00    -27.00     31.00
1989-03-07 08:00:00.000 066       309.00     98.00   -210.00    -55.00
1989-03-07 09:00:00.000 066       248.00     95.00   -152.00    -27.00
1989-03-07 10:00:00.000 066       194.00     94.00    -99.00     -2.00
1989-03-07 11:00:00.000 066       162.00     90.00    -71.00      8.00
1989-03-07 12:00:00.000 066       255.00     65.00   -189.00    -61.00
1989-03-07 13:00:00.000 066       183.00     55.00   -127.00    -35.00
1989-03-07 14:00:00.000 066       181.00     39.00   -141.00    -50.00
1989-03-07 15:00:00.000 066       114.00     35.00    -78.00    -21.00
1989-03-07 16:00:00.000 066        99.00     37.00    -61.00    -11.00
1989-03-07 17:00:00.000 066       153.00     63.00    -89.00    -13.00
1989-03-07 18:00:00.000 066       228.00     87.00   -140.00    -26.00
