 Format                 IAGA-2002                                    |
 Source of Data         WDC for Geomagnetism, Kyoto                  |
 Station Name           Equatorial Dst index                         |
 IAGA CODE              DST                                          |
 Geodetic Latitude                                                   |
 Geodetic Longitude                                                  |
 Elevation                                                           |
 Reported               H                                            |
 Sensor Orientation                                                  |
 Digital Sampling                                                    |
 Data Interval Type     1-hour                                       |
 Data Type              Final                                        |
 # Converted to IAGA2002 format                                      |
 #   by WDC for Geomagnetism, Kyoto. 2025-07-01                      |
 # The values in the raw of 00:00:00:00.000 are those converted      |
 #  from those in the column of 21-24 which are usually              |
 #  the mean values between 00:00UT and 01:00UT, etc..               |
DATE       TIME         DOY     DST                                  |
1958-02-09 07:00:00.000 040       -15.00
1958-02-09 08:00:00.000 040       -16.00
1958-02-09 09:00:00.000 040       -16.00
1958-02-09 10:00:00.000 040       -18.00
1958-02-09 11:00:00.000 040       -19.00
1958-02-09 12:00:00.000 040       -20.00
1958-02-09 13:00:00.000 040       -19.00
1958-02-09 14:00:00.000 040       -20.00
1958-02-09 15:00:00.000 040       -24.00
1958-02-09 16:00:00.000 040       -31.00
1958-02-09 17:00:00.000 040       -37.00
1958-02-09 18:00:00.000 040       -36.00
1958-02-09 19:00:00.000 040       -27.00
1958-02-09 20:00:00.000 040       -32.00
1958-02-09 21:00:00.000 040       -36.00
1958-02-09 22:00:00.000 040       -39.00
1958-02-09 23:00:00.000 040       -39.00
1958-02-10 00:00:00.000 041       -27.00
1958-02-10 01:00:00.000 041       -22.00
1958-02-10 02:00:00.000 041       -17.00
1958-02-10 03:00:00.000 041       -14.00
1958-02-10 04:00:00.000 041       -20.00
1958-02-10 05:00:00.000 041       -19.00
1958-02-10 06:00:00.000 041       -11.00
1958-02-10 07:00:00.000 041        -9.00
1958-02-10 08:00:00.000 041       -12.00
1958-02-10 09:00:00.000 041       -14.00
1958-02-10 10:00:00.000 041       -19.00
1958-02-10 11:00:00.000 041       -19.00
1958-02-10 12:00:00.000 041       -20.00
1958-02-10 13:00:00.000 041       -19.00
1958-02-10 14:00:00.000 041       -21.00
1958-02-10 15:00:00.000 041       -30.00
1958-02-10 16:00:00.000 041       -42.00
1958-02-10 17:00:00.000 041       -38.00
1958-02-10 18:00:00.000 041       -48.00
1958-02-10 19:00:00.000 041       -50.00
1958-02-10 20:00:00.000 041       -56.00
1958-02-10 21:00:00.000 041       -63.00
1958-02-10 22:00:00.000 041       -63.00
1958-02-10 23:00:00.000 041       -53.00
