ID,lat,lon,bathymetry.meters
243,53.89261745,-29.79553903,3151.98999
244,53.89261745,-29.79553903,3151.98999
245,54.22818792,-29.46096654,3125.199951
246,54.22818792,-29.46096654,3125.199951
247,54.22818792,-29.46096654,3125.199951
248,54.22818792,-29.12639405,3062.570068
249,54.22818792,-29.12639405,3062.570068
250,54.22818792,-29.12639405,3062.570068
251,54.22818792,-29.12639405,3062.570068
252,54.22818792,-28.79182156,2931.590088
253,54.22818792,-28.79182156,2931.590088
254,54.22818792,-28.79182156,2931.590088
255,54.22818792,-28.45724907,3055.652344
256,54.22818792,-28.45724907,3055.652344
257,54.22818792,-28.45724907,3055.652344
258,54.22818792,-28.12267658,3153.782227
259,54.22818792,-28.12267658,3153.782227
260,54.22818792,-28.12267658,3153.782227
261,54.22818792,-28.12267658,3153.782227
262,54.22818792,-27.78810409,3234.512451
263,54.22818792,-27.78810409,3234.512451
264,54.22818792,-27.78810409,3234.512451
265,54.22818792,-27.4535316,3304.652344
266,54.22818792,-27.4535316,3304.652344
267,54.22818792,-27.4535316,3304.652344
268,54.22818792,-27.11895911,3485.142334
269,54.22818792,-27.11895911,3485.142334
270,54.22818792,-27.11895911,3485.142334
271,54.22818792,-27.11895911,3485.142334
272,54.22818792,-26.78438662,3450.162354
273,54.22818792,-26.78438662,3450.162354
274,54.22818792,-26.78438662,3450.162354
275,54.22818792,-26.44981413,3494.862305
276,54.22818792,-26.44981413,3494.862305
277,54.56375839,-26.44981413,3535.672363
278,54.56375839,-26.11524164,3556.469971
279,54.56375839,-26.11524164,3556.469971
280,54.56375839,-26.11524164,3556.469971
281,54.56375839,-26.11524164,3556.469971
282,54.56375839,-25.78066914,2488.060059
283,54.56375839,-25.78066914,2488.060059
284,54.56375839,-25.78066914,2488.060059
285,54.56375839,-25.44609665,2341.449951
286,54.56375839,-25.44609665,2341.449951
287,54.56375839,-25.44609665,2341.449951
288,54.56375839,-25.11152416,2901.830078
289,54.56375839,-25.11152416,2901.830078
290,54.56375839,-25.11152416,2901.830078
