dB_E,dB_N,dB_Z
-0.49577,-0.63689,2.5606
-0.51665,-0.62603,2.6026
-0.55475,-0.65719,2.7958
-0.58482,-0.70004,2.9821
-0.56718,-0.70477,2.9194
-0.5571,-0.69297,2.8221
-0.5424,-0.65957,2.6849
-0.53089,-0.63793,2.6614
-0.51598,-0.63383,2.6313
-0.49226,-0.623,2.5647
-0.48692,-0.61162,2.5348
-0.47235,-0.58238,2.3861
-0.48777,-0.57666,2.4422
-0.4887,-0.58214,2.5196
-0.49407,-0.60688,2.6634
-0.45487,-0.59892,2.5423
-0.43126,-0.58008,2.4028
-0.41361,-0.55521,2.222
-0.39715,-0.52328,2.0897
-0.38717,-0.52493,2.1034
-0.36581,-0.52131,2.0513
-0.34798,-0.52863,2.0777
-0.32684,-0.5641,2.2007
-0.30361,-0.56336,2.1984
-0.27635,-0.57226,2.2069
-0.23214,-0.50541,2.007
-0.16761,-0.50926,2.0436
-0.11052,-0.51358,1.9315
-0.052543,-0.58659,2.0072
-0.015993,-0.58137,1.8467
0.0084039,-0.57948,1.6418
0.077102,-0.5836,1.5166
0.063941,-0.58513,1.4644
0.076353,-0.58235,1.3939
0.089955,-0.58454,1.3574
0.071129,-0.57933,1.335
0.077871,-0.5788,1.3325
0.091999,-0.55778,1.2098
0.11864,-0.56981,1.2323
0.13938,-0.57434,1.1977
0.1467,-0.5779,1.1822
0.12712,-0.56949,1.1606
0.14302,-0.57365,1.0877
0.11523,-0.5665,1.111
0.11941,-0.5609,1.0514
0.1074,-0.55048,0.99731
0.11702,-0.55231,0.9824
0.11763,-0.54088,0.98427
0.13305,-0.51488,0.84918
0.15487,-0.52185,0.84829
0.10372,-0.50039,0.68465
0.1303,-0.52243,0.7684
0.15856,-0.48372,0.60702
0.18647,-0.48896,0.57177
0.20213,-0.4713,0.46691
0.16563,-0.49264,0.579
0.1484,-0.52256,0.67034
0.11636,-0.52774,0.71384
0.12616,-0.54898,0.76107
0.10799,-0.56417,0.82531
0.10298,-0.56888,0.81251
0.10343,-0.57043,0.76847
0.10895,-0.57425,0.74925
0.10282,-0.55658,0.73642
0.10766,-0.5748,0.74896
0.10019,-0.58415,0.77294
0.088362,-0.58924,0.79207
0.066399,-0.59118,0.91636
0.067358,-0.59794,0.89114
0.048006,-0.59011,0.84731
0.044497,-0.57798,0.77654
0.03071,-0.5708,0.79209
0.031656,-0.5529,0.73453
0.035686,-0.55384,0.69544
0.021333,-0.52172,0.60701
0.024606,-0.4949,0.5187
0.017837,-0.48009,0.50983
0.01982,-0.46678,0.45562
0.0093391,-0.45893,0.4063
0.0059217,-0.4304,0.24734
0.017202,-0.40688,0.16237
0.041431,-0.36492,0.033262
0.0045766,-0.35345,-0.010799
0.0082036,-0.32881,-0.080691
0.0217,-0.31493,-0.15181
0.018352,-0.30239,-0.16487
-0.0024615,-0.29493,-0.15551
-0.016509,-0.29123,-0.14584
-0.018091,-0.27828,-0.21474
-0.014554,-0.27765,-0.16728
-0.01298,-0.29,-0.046934
-0.0027817,-0.28569,-0.1417
-0.0041619,-0.27574,-0.1704
-0.011402,-0.27135,-0.10738
-0.0074622,-0.27858,-0.071055
-0.0004808,-0.28113,-0.015777
-0.00092907,-0.28743,0.018959
0.0030853,-0.29471,0.033762
0.0030118,-0.28844,0.046387
0.008307,-0.2918,0.047751
0.0067571,-0.29139,0.073343
0.011807,-0.28927,0.066397
0.013074,-0.28468,0.063607
0.018237,-0.28197,0.10269
0.025789,-0.2867,0.15575
0.030966,-0.28943,0.12404
0.028969,-0.28155,0.15539
0.037842,-0.28713,0.2261
0.039945,-0.29227,0.17555
0.034369,-0.26968,0.12776
0.038497,-0.26877,0.1529
0.03826,-0.27008,0.18001
0.045956,-0.27304,0.20645
0.051656,-0.26744,0.1976
0.051415,-0.2612,0.17998
0.057744,-0.26957,0.24194
0.058955,-0.26856,0.26016
0.065819,-0.26665,0.26097
0.069856,-0.27033,0.27539
0.068261,-0.26271,0.2794
0.072896,-0.26484,0.2787
0.075251,-0.26512,0.32546
0.080385,-0.2697,0.35273
0.08524,-0.27373,0.3779
0.089324,-0.27283,0.3724
0.092723,-0.27158,0.38531
0.096568,-0.2695,0.40993
0.10155,-0.27052,0.42858
0.11109,-0.27853,0.5011
0.1107,-0.27195,0.42091
0.11268,-0.2688,0.43576
0.11613,-0.27162,0.44444
0.10765,-0.25866,0.36526
0.10173,-0.24181,0.28823
0.10355,-0.23931,0.31621
0.11133,-0.23869,0.34519
0.11861,-0.23876,0.37173
0.12791,-0.24165,0.39198
0.14453,-0.25081,0.49961
0.1422,-0.24541,0.44973
0.14828,-0.24292,0.41455
0.14203,-0.23537,0.33307
0.12991,-0.2344,0.32419
0.13069,-0.23536,0.36343
0.14051,-0.24658,0.38265
0.14519,-0.22965,0.36752
0.14875,-0.23788,0.38243
0.14929,-0.23898,0.3781
0.1477,-0.23016,0.37056
0.15195,-0.21842,0.33514
0.1468,-0.21777,0.3366
0.14828,-0.22162,0.37375
0.15533,-0.21807,0.40074
0.15443,-0.21835,0.38583
0.15593,-0.21377,0.37806
0.16302,-0.2184,0.4211
0.16472,-0.21655,0.43183
0.16519,-0.21302,0.40995
0.16825,-0.21068,0.3999
0.16712,-0.20441,0.38271
0.16472,-0.19706,0.36711
0.16871,-0.19267,0.36634
0.17063,-0.18677,0.35621
0.18078,-0.18563,0.42569
0.18478,-0.18492,0.45412
0.18788,-0.18607,0.4583
0.18446,-0.18181,0.42004
0.17854,-0.17177,0.39782
0.17516,-0.16519,0.39334
0.17757,-0.16256,0.43127
0.18121,-0.15518,0.45555
0.19029,-0.16039,0.46884
0.18695,-0.15095,0.45501
0.19517,-0.15022,0.5378
0.18863,-0.14753,0.44121
0.20068,-0.16158,0.47352
0.18174,-0.13874,0.38574
0.16481,-0.13057,0.32038
0.15062,-0.12354,0.2261
0.14198,-0.12113,0.21883
0.13975,-0.11243,0.20666
0.14534,-0.1065,0.26179
0.1505,-0.10379,0.29167
0.16322,-0.10664,0.32881
0.16379,-0.090966,0.38591
0.18575,-0.10079,0.48735
0.19791,-0.092807,0.53989
0.20831,-0.09292,0.56881
0.21325,-0.088225,0.59839
0.22014,-0.088209,0.65191
0.22138,-0.083328,0.66087
0.22478,-0.0792,0.71215
0.23994,-0.075969,0.7858
0.24865,-0.078828,0.80218
0.2489,-0.071073,0.82196
0.26998,-0.068984,0.9411
0.2849,-0.06818,0.98963
0.30381,-0.067441,1.0525
0.32306,-0.060977,1.1279
0.3587,-0.06767,1.2101
0.41023,-0.058175,1.316
0.44225,-0.055234,1.3007
0.44124,-0.05838,1.3845
0.47194,-0.052232,1.438
0.50258,-0.024982,1.4779
0.47913,-0.021598,1.3606
0.52247,0.0026502,1.5515
0.53172,-0.033411,1.4512
0.5095,-0.039773,1.3865
0.48985,-0.036961,1.3398
0.50307,-0.034602,1.3686
0.53516,-0.028817,1.4031
0.53267,-0.030635,1.3487
0.52967,-0.029904,1.3338
0.5347,-0.021163,1.3574
0.5531,-0.022374,1.3613
0.55621,-0.03364,1.3131
0.55902,-0.017824,1.3462
0.56343,-0.020181,1.2897
0.55435,-0.023186,1.2361
0.5239,-0.023027,1.1248
0.54883,-0.0027165,1.2279
0.54906,0.01225,1.1455
0.55221,-0.0071578,1.1105
0.53943,-0.0074009,1.0666
0.5216,-0.014856,1.0069
0.52477,-0.010419,0.99581
0.50478,-0.011109,0.90921
0.48804,-0.010546,0.85245
0.45732,-0.017675,0.76551
0.44152,-0.01095,0.75464
0.43191,-0.013514,0.7168
0.41208,-0.021165,0.64473
0.39696,-0.027351,0.57628
0.45294,0.020466,0.3948
0.36817,-0.014034,0.40153
0.44006,0.036742,0.28273
0.37115,-0.045779,0.35015
0.37095,-0.010272,0.3341
0.36785,-0.018353,0.28282
0.39878,-0.019019,0.31769
0.39378,-0.026395,0.31352
0.35551,-0.018939,0.25851
0.30573,-0.030261,0.18
0.29238,-0.071507,0.1993
0.24213,-0.10149,0.15712
0.22391,-0.12862,0.15175
0.22873,-0.12243,0.18832
0.255,-0.11445,0.25198
0.26053,-0.12317,0.23915
0.23858,-0.13314,0.20675
0.24659,-0.12584,0.22886
0.26255,-0.12532,0.2496
0.24742,-0.13202,0.20548
0.23272,-0.13345,0.1828
0.22285,-0.13151,0.16769
0.20876,-0.12575,0.14086
0.19332,-0.12935,0.10819
0.1795,-0.13353,0.077068
0.15807,-0.14138,0.059038
0.15205,-0.13849,0.016068
0.15706,-0.12689,-6.2675e-05
0.14905,-0.13616,-0.0050071
0.12795,-0.14696,-0.0091491
0.11385,-0.15093,-0.028045
0.1023,-0.15044,-0.035974
0.09407,-0.15701,-0.041051
0.095595,-0.15563,-0.034369
0.10149,-0.14714,-0.046399
0.086913,-0.15519,-0.05484
0.081063,-0.15652,-0.057363
0.069024,-0.15363,-0.067734
0.067662,-0.15054,-0.065975
0.063141,-0.15722,-0.0771
0.064781,-0.15013,-0.070449
0.062956,-0.14767,-0.078525
0.057902,-0.14709,-0.07817
0.048185,-0.15095,-0.094274
0.037483,-0.15145,-0.1066
0.020062,-0.16129,-0.14116
0.012329,-0.15969,-0.13732
0.019839,-0.14897,-0.11948
0.012055,-0.1571,-0.13628
0.0037883,-0.15647,-0.13721
0.0066548,-0.1431,-0.11893
0.0059685,-0.14154,-0.12124
0.00084373,-0.14851,-0.12945
-0.0075423,-0.15223,-0.13822
0.0027753,-0.14292,-0.12158
-0.0091044,-0.14541,-0.13472
-0.010824,-0.14156,-0.12726
-0.0075688,-0.13342,-0.11458
-0.0017462,-0.11738,-0.094228
0.0025345,-0.1209,-0.09682
0.0047189,-0.11271,-0.090023
-0.0023064,-0.12076,-0.10537
-0.0052679,-0.12426,-0.10976
-0.0048843,-0.11351,-0.10305
-0.0054063,-0.12043,-0.11172
-0.0076182,-0.11511,-0.10666
0.0069585,-0.098331,-0.084455
0.010312,-0.10155,-0.084755
0.017902,-0.09163,-0.06917
0.029244,-0.078926,-0.050811
0.041062,-0.056788,-0.026126
0.063469,-0.030475,0.002967
0.072236,-0.026653,0.0047386
0.050503,-0.050118,-0.028419
0.024238,-0.093647,-0.081505
-0.014675,-0.1343,-0.1276
-0.061412,-0.18803,-0.17497
-0.055665,-0.14414,-0.13594
-0.047186,-0.17014,-0.1549
-0.056993,-0.17555,-0.15376
-0.060763,-0.16369,-0.14472
-0.023099,-0.10588,-0.085016
0.0022132,-0.07435,-0.05426
0.0292,-0.036607,-0.019926
0.044524,-0.012699,-0.0023185
0.073863,0.033176,0.035014
0.086755,0.037971,0.033524
0.060096,-0.01107,-0.0076532
0.028882,-0.070719,-0.049112
-0.012228,-0.12779,-0.092743
-0.04466,-0.15249,-0.10806
-0.054834,-0.16411,-0.11212
-0.039259,-0.13802,-0.08874
-0.032308,-0.13541,-0.083312
-0.024803,-0.11669,-0.069287
-0.023164,-0.1318,-0.077518
-0.029484,-0.12259,-0.071825
-0.014936,-0.075845,-0.038591
0.011279,-0.040768,-0.014953
0.023626,-0.022764,-0.0046371
0.03649,0.011796,0.01651
0.054262,0.039272,0.031889
0.058973,0.038891,0.031306
0.052551,0.033173,0.026663
0.04058,0.011513,0.015265
0.020607,-0.003265,0.0094866
0.015518,-0.0045232,0.010067
0.0105,-0.00055624,0.011654
0.003795,0.012288,0.01869
-0.0012478,-0.0032013,0.012113
-0.011958,-0.019724,0.0035084
-0.028822,-0.040154,-0.0060445
-0.041397,-0.036199,-0.0044474
-0.047125,-0.037719,-0.0024336
-0.047185,-0.034214,-0.0027713
-0.05425,-0.048223,-0.0072646
-0.05614,-0.055303,-0.010703
-0.062793,-0.058935,-0.012622
-0.061141,-0.057083,-0.010142
-0.066838,-0.062377,-0.011519
-0.05169,0.0035128,0.013827
-0.023592,0.071757,0.037224
-0.0066677,0.10668,0.048262
-0.0019427,0.090499,0.039236
-0.013254,0.06507,0.02789
-0.017328,0.086595,0.033387
-0.0035281,0.1349,0.045787
-0.00034254,0.13646,0.0451
0.0045219,0.14923,0.047601
0.010219,0.16324,0.047808
0.025005,0.22437,0.061689
0.035215,0.25549,0.067588
0.045641,0.27753,0.069152
0.049537,0.28867,0.067817
0.049798,0.30769,0.068957
0.049853,0.32161,0.068719
0.049732,0.32938,0.067158
0.046647,0.33532,0.065445
0.043447,0.35797,0.066653
0.052937,0.39184,0.068954
0.052907,0.39759,0.067508
0.057003,0.40216,0.064113
0.059409,0.40319,0.059143
0.059013,0.41485,0.057889
0.067341,0.42296,0.054622
0.066123,0.40924,0.048448
0.06862,0.40809,0.043565
0.067617,0.4128,0.039473
0.066654,0.41535,0.03646
0.064375,0.4121,0.032671
0.061842,0.44099,0.033203
0.062855,0.44811,0.030129
0.056833,0.44711,0.026097
0.043617,0.40975,0.019002
0.038899,0.4117,0.015203
0.026289,0.40522,0.012853
0.025842,0.405,0.0093741
0.017794,0.39384,0.005949
0.013784,0.43812,0.0058159
0.011794,0.44474,0.00058437
0.00094697,0.43934,-0.00052581
-0.011101,0.47016,0.0010668
-0.022709,0.49398,-0.0010069
-0.025433,0.52384,-0.0017996
-0.021798,0.56152,-0.0071367
-0.023224,0.55598,-0.014678
-0.030158,0.5706,-0.015436
-0.026484,0.62491,-0.020551
-0.024034,0.62292,-0.027929
-0.022306,0.61932,-0.032859
-0.026595,0.58406,-0.042761
-0.036834,0.57521,-0.047029
-0.043876,0.57872,-0.049475
-0.041068,0.58541,-0.054119
-0.03836,0.58452,-0.054356
-0.040625,0.58661,-0.056157
-0.045083,0.56572,-0.059017
-0.04415,0.52655,-0.061701
-0.053762,0.51019,-0.064338
-0.057181,0.51048,-0.069499
-0.058578,0.48659,-0.069449
-0.056173,0.48458,-0.069891
-0.051678,0.49608,-0.072278
-0.042069,0.4699,-0.078667
-0.044529,0.47443,-0.075463
-0.013448,0.60409,-0.093728
0.019462,0.64774,-0.12302
0.060482,0.67076,-0.14828
0.076091,0.66306,-0.17546
0.084366,0.69294,-0.19342
0.089225,0.66386,-0.21264
0.089388,0.63477,-0.23042
0.076072,0.6269,-0.23188
0.069821,0.63559,-0.22748
0.062017,0.63649,-0.22766
0.047718,0.62896,-0.22095
0.041076,0.58425,-0.20706
0.028778,0.50122,-0.19176
0.001855,0.50148,-0.1827
-0.010278,0.46856,-0.18136
-0.023961,0.45643,-0.17379
-0.046276,0.45639,-0.16397
-0.059878,0.46843,-0.16714
-0.078206,0.44964,-0.16679
-0.090368,0.43304,-0.15715
-0.10286,0.40959,-0.15623
-0.099913,0.39925,-0.15406
-0.10727,0.39579,-0.15402
-0.098163,0.3602,-0.15695
-0.099274,0.34529,-0.16197
-0.10799,0.35806,-0.1923
-0.12636,0.36175,-0.15649
-0.12158,0.35991,-0.15152
-0.11074,0.35941,-0.1742
-0.1025,0.354,-0.1852
-0.11598,0.42834,-0.29798
-0.13072,0.35408,-0.19722
-0.12546,0.34504,-0.18254
-0.10326,0.30523,-0.17379
-0.10611,0.26408,-0.1588
-0.11999,0.27487,-0.17386
-0.12372,0.26119,-0.17062
-0.10739,0.26996,-0.18351
-0.10244,0.26967,-0.17574
-0.10284,0.26728,-0.17166
-0.086476,0.25301,-0.16353
-0.084626,0.2304,-0.16291
-0.10231,0.25648,-0.18265
-0.091448,0.25585,-0.16793
-0.086455,0.27306,-0.18335
-0.082498,0.25561,-0.16711
-0.088063,0.28144,-0.18453
-0.086256,0.2971,-0.19577
-0.081101,0.29329,-0.19276
-0.074211,0.27595,-0.18138
-0.063384,0.27238,-0.18369
-0.066581,0.27241,-0.1886
-0.060004,0.26907,-0.1993
-0.040593,0.23583,-0.19363
-0.033009,0.20588,-0.18862
-0.027571,0.18913,-0.18417
-0.034748,0.17086,-0.1732
-0.049117,0.20029,-0.17565
-0.040797,0.22841,-0.17214
-0.032948,0.24432,-0.18511
-0.020946,0.25294,-0.18931
-0.0052099,0.23212,-0.19065
-0.015592,0.26404,-0.20385
0.0065183,0.2458,-0.20461
0.020609,0.23842,-0.20393
0.028888,0.23098,-0.1933
0.027989,0.26127,-0.20441
0.033999,0.25133,-0.20055
0.037582,0.25922,-0.21095
0.03958,0.28947,-0.22484
0.032533,0.30902,-0.22603
0.027116,0.31895,-0.22549
0.04135,0.30982,-0.221
0.031299,0.31076,-0.22316
0.01685,0.34755,-0.27307
0.0098228,0.36631,-0.27553
0.0097548,0.39151,-0.29884
0.015385,0.37207,-0.2977
0.0061072,0.37113,-0.28801
-0.0017028,0.38616,-0.29069
0.0041464,0.39679,-0.3042
0.012897,0.40177,-0.30056
0.0058845,0.42938,-0.3227
0.0052402,0.42986,-0.31751
-0.018828,0.45552,-0.32494
-0.0086993,0.43921,-0.31055
-0.011527,0.43833,-0.31634
-0.010372,0.43074,-0.29941
-0.023842,0.46467,-0.33241
-0.013482,0.46123,-0.33473
-0.021127,0.47849,-0.35284
-0.019534,0.44938,-0.33168
-0.025249,0.45013,-0.33143
-0.057154,0.48274,-0.36149
-0.077336,0.50133,-0.37104
-0.086238,0.49955,-0.35059
-0.084182,0.46726,-0.31169
-0.071454,0.44368,-0.29943
-0.083484,0.45317,-0.3183
-0.077857,0.45861,-0.34181
-0.060437,0.44506,-0.34917
-0.043778,0.43013,-0.34765
-0.03808,0.41747,-0.35223
-0.01735,0.37326,-0.33435
-0.028939,0.40329,-0.35333
-0.029689,0.42737,-0.35857
-0.035445,0.42869,-0.3478
-0.036095,0.40851,-0.32749
-0.022096,0.38651,-0.32681
-0.029826,0.40867,-0.36961
-0.021514,0.39044,-0.3534
-0.0054671,0.39655,-0.3491
0.015912,0.39884,-0.32788
0.022412,0.42283,-0.35554
0.04138,0.41167,-0.35579
0.058721,0.39541,-0.35004
0.065775,0.39607,-0.34031
0.087344,0.38874,-0.32871
0.10466,0.38812,-0.32907
0.10941,0.40157,-0.34164
0.11146,0.40461,-0.34689
0.10102,0.42475,-0.35647
0.10726,0.43826,-0.36392
0.099588,0.45635,-0.36945
0.095836,0.47986,-0.38532
0.1086,0.47609,-0.38712
0.11073,0.46628,-0.37816
0.097892,0.48302,-0.39121
0.098338,0.47632,-0.38408
0.083891,0.50368,-0.39748
0.082519,0.51268,-0.4142
0.092034,0.52198,-0.40508
0.092985,0.53426,-0.41534
0.098064,0.52846,-0.40949
0.10103,0.52381,-0.40875
0.097145,0.53495,-0.42453
0.090145,0.54726,-0.43049
0.070213,0.56281,-0.44017
0.096874,0.53978,-0.42894
0.09783,0.52656,-0.41932
0.09047,0.52163,-0.41259
0.068276,0.53485,-0.42147
0.069024,0.5453,-0.42996
0.077606,0.5336,-0.42129
0.055364,0.54577,-0.42048
0.047506,0.54197,-0.41669
0.049424,0.53937,-0.41634
0.043996,0.53859,-0.42013
0.026787,0.55082,-0.42349
0.0066123,0.55315,-0.4305
0.0057612,0.55222,-0.42827
-0.00011757,0.54794,-0.41731
-0.014736,0.55059,-0.41574
-0.027652,0.56662,-0.43108
-0.040033,0.57612,-0.43611
-0.048182,0.57403,-0.43999
-0.030648,0.55284,-0.42565
-0.050635,0.55402,-0.4224
-0.069568,0.55916,-0.42559
-0.062862,0.55751,-0.43022
-0.06729,0.54956,-0.42256
-0.078826,0.54289,-0.42704
-0.065998,0.53574,-0.42487
-0.074577,0.53887,-0.42366
-0.080339,0.54685,-0.44096
-0.10226,0.57246,-0.45538
-0.12772,0.57789,-0.45504
-0.13402,0.5829,-0.46719
-0.16778,0.61411,-0.4862
-0.18857,0.63746,-0.50426
