dB_E,dB_N,dB_Z
0.098385,-0.15458,1.1169
0.10452,-0.11646,1.2064
0.10946,0.11346,1.6417
0.11499,-0.24024,1.0568
0.11582,-0.11183,1.2272
0.12518,-0.16164,1.2033
0.11874,-0.36578,0.77599
0.11794,-0.55556,0.36313
0.12377,-0.38221,0.61806
0.12816,-0.274,0.80606
0.12961,-0.18196,0.97023
0.14175,-0.14702,1.0608
0.15358,0.16647,1.679
0.14892,-0.053069,1.3108
0.16078,-0.17567,1.092
0.16441,-0.44227,0.59614
0.14831,-0.35684,0.66603
0.14506,-0.19474,0.94088
0.15693,-0.22572,0.96772
0.16337,-0.21632,0.92144
0.16948,-0.20912,0.97697
0.16951,-0.23527,0.93858
0.1686,-0.21276,0.934
0.18226,-0.29337,0.76185
0.17109,-0.25719,0.79469
0.17191,-0.14657,1.0092
0.17627,-0.059671,1.1678
0.17601,-0.14885,1.0316
0.17858,-0.15727,0.99862
0.18549,-0.017715,1.2634
0.18317,0.024461,1.3358
0.18623,-0.064092,1.1823
0.19508,-0.11046,1.106
0.19518,-0.13634,1.0299
0.1922,-0.14707,0.9722
0.19864,-0.1358,0.97803
0.20084,-0.15776,0.92029
0.20826,0.11047,1.389
0.20749,0.18475,1.5387
0.21345,0.14316,1.5069
0.21489,-0.008925,1.2417
0.2068,-0.0078856,1.1739
0.20348,0.026423,1.1947
0.20488,0.18416,1.464
0.20084,0.2986,1.6373
0.22254,0.28092,1.6665
0.21248,0.29155,1.6271
0.21616,0.64161,2.2231
0.21701,0.2119,1.505
0.24696,0.2587,1.6787
0.21846,0.06899,1.2093
0.20262,-0.036491,0.92099
0.19445,-0.34641,0.33369
0.18888,-0.32816,0.34513
0.18604,-0.30433,0.32645
0.18572,-0.036462,0.75449
0.18828,0.057906,0.92905
0.20642,0.16444,1.1485
0.1851,0.48176,1.6063
0.2165,0.74458,2.177
0.2184,0.90187,2.4648
0.23285,0.9601,2.6084
0.23112,1.103,2.8304
0.23654,1.2892,3.178
0.23393,1.3209,3.2299
0.23172,1.5371,3.5976
0.24341,1.79,4.0586
0.25635,1.7835,4.1029
0.24769,1.8941,4.2632
0.26239,2.3644,5.0883
0.27623,2.4651,5.3205
0.29684,2.6741,5.7159
0.30774,2.9382,6.1941
0.35553,3.0953,6.6036
0.39973,3.5119,7.3336
0.44129,3.4105,7.2129
0.43164,3.6989,7.7338
0.47117,3.8253,8.0185
0.50608,4.0553,8.3582
0.49707,3.6746,7.6435
0.53161,4.5541,9.0939
0.57261,3.8228,8.0939
0.54199,3.6292,7.702
0.51051,3.5029,7.4294
0.5236,3.6402,7.6606
0.56846,3.6894,7.8131
0.57123,3.4395,7.3919
0.57056,3.4333,7.3465
0.57044,3.5784,7.5577
0.6018,3.5275,7.5323
