dB_E,dB_N,dB_Z
0.352,-0.086002,0.28722
0.3637,-0.084778,0.28786
0.36825,-0.085609,0.27983
0.37048,-0.083133,0.28714
0.37484,-0.078059,0.27842
0.36789,-0.074871,0.26503
0.3502,-0.067867,0.24306
0.36205,-0.065855,0.26073
0.3615,-0.048951,0.24764
0.36544,-0.054203,0.24008
0.35794,-0.052146,0.23151
0.349,-0.052343,0.21983
0.3505,-0.048048,0.21657
0.33739,-0.041649,0.19901
0.32446,-0.037113,0.18604
0.30417,-0.035381,0.16752
0.29219,-0.033657,0.16312
0.28758,-0.032828,0.15676
0.2755,-0.031721,0.14128
0.26533,-0.028414,0.12298
0.27998,0.038587,0.05397
0.23486,-0.0014266,0.07124
0.26545,0.060743,0.019921
0.24726,-0.01387,0.057434
0.23658,0.009733,0.048474
0.23831,0.010153,0.038924
0.25617,0.0074093,0.038612
0.25489,0.00081506,0.045659
0.22426,0.0031688,0.035703
0.19151,-0.0015125,0.020471
0.19026,-0.03003,0.023185
0.16524,-0.049446,0.021637
0.15882,-0.065658,0.020262
0.16393,-0.066166,0.027981
0.18,-0.06539,0.04277
0.18471,-0.066866,0.041917
0.17249,-0.072469,0.035864
0.17804,-0.071304,0.039984
0.18761,-0.070693,0.044288
0.17743,-0.070581,0.033699
0.1675,-0.070816,0.028703
0.15893,-0.068806,0.024104
0.14739,-0.064427,0.017942
0.13669,-0.063902,0.010605
0.12723,-0.063411,0.0037043
0.11442,-0.068871,-0.00073543
0.10832,-0.061779,-0.011826
0.11001,-0.052079,-0.016543
0.10577,-0.056297,-0.016137
0.09425,-0.063751,-0.014627
0.085475,-0.064419,-0.019149
0.079548,-0.064526,-0.020506
0.075474,-0.0675,-0.021683
0.075798,-0.066642,-0.021052
0.077204,-0.059174,-0.025014
0.068618,-0.063912,-0.025565
0.063432,-0.064296,-0.026831
0.056128,-0.062534,-0.027977
0.054733,-0.06077,-0.027958
0.051756,-0.062303,-0.030955
0.052906,-0.059235,-0.02918
0.051161,-0.056519,-0.030652
0.047538,-0.056429,-0.029973
0.040633,-0.056501,-0.033766
0.033651,-0.056338,-0.036898
0.022233,-0.057497,-0.045578
0.01703,-0.058122,-0.045442
0.020867,-0.053701,-0.040519
0.016682,-0.055565,-0.044202
0.011081,-0.056172,-0.044832
0.012505,-0.051708,-0.039329
0.011964,-0.049951,-0.038873
0.0083896,-0.052545,-0.041932
0.0035376,-0.054078,-0.044307
0.0083864,-0.050024,-0.04084
0.0020859,-0.050512,-0.042632
0.00012102,-0.049917,-0.041593
0.0012793,-0.047314,-0.038094
0.0049319,-0.041946,-0.031294
0.0067816,-0.041888,-0.031997
0.0086626,-0.03859,-0.029579
0.004801,-0.040333,-0.033046
0.0028427,-0.041443,-0.035294
0.0038659,-0.037188,-0.032294
0.0029783,-0.038374,-0.034476
0.0021054,-0.03711,-0.032849
0.010471,-0.030201,-0.026473
0.01242,-0.03024,-0.026498
0.017096,-0.027006,-0.022833
0.023148,-0.022359,-0.017585
0.031443,-0.01445,-0.009083
0.044514,-0.0036594,0.0010998
0.050494,-0.00081687,0.0034579
0.037283,-0.0096506,-0.005283
0.019365,-0.024258,-0.021983
-0.0022397,-0.040328,-0.035034
-0.03072,-0.064145,-0.052092
-0.027556,-0.050317,-0.040259
-0.02469,-0.055351,-0.046572
-0.031087,-0.059652,-0.047429
-0.032482,-0.055688,-0.044985
-0.011002,-0.033754,-0.02737
0.0057377,-0.02007,-0.016422
0.022348,-0.004797,-0.0045872
0.032449,0.0054482,0.0035613
0.049397,0.023536,0.016672
0.05694,0.028244,0.017741
0.042897,0.009395,0.0047409
0.02345,-0.015302,-0.010827
-0.00057984,-0.039269,-0.02631
-0.019985,-0.053237,-0.032844
-0.028812,-0.058913,-0.035669
-0.020044,-0.048932,-0.029405
-0.017723,-0.046998,-0.02832
-0.012766,-0.0396,-0.023385
-0.013397,-0.043737,-0.027356
-0.015485,-0.041522,-0.024849
-0.0063063,-0.025212,-0.012731
0.0087044,-0.0095195,-0.0042601
0.016787,-0.0012485,0.00049916
0.025829,0.011633,0.0094888
0.036061,0.023344,0.015664
0.038383,0.023683,0.015339
0.035341,0.020901,0.014387
0.027199,0.011139,0.0094681
0.01567,0.0019188,0.0076243
0.011492,-0.00016349,0.007197
0.0083142,0.00015196,0.0084584
0.0050417,0.0029837,0.01268
0.00093528,-0.0033744,0.010068
-0.0053192,-0.010464,0.0067981
-0.015896,-0.020246,0.0035096
-0.022138,-0.020909,0.0054326
-0.025735,-0.023033,0.0060528
-0.02612,-0.021493,0.0061733
-0.031725,-0.028028,0.0041207
-0.032626,-0.030617,0.0019139
-0.036119,-0.03258,0.0016036
-0.035243,-0.032078,0.0017114
-0.037954,-0.034541,0.0013393
-0.025834,-0.0089552,0.014387
-0.0081989,0.019946,0.026985
0.0025404,0.034964,0.033275
0.0034282,0.030311,0.028973
-0.0031563,0.019773,0.023879
-0.003037,0.026992,0.027976
0.0057157,0.046181,0.034608
0.0059387,0.046258,0.033506
0.0094049,0.052119,0.035249
0.014158,0.05975,0.037471
0.025694,0.085142,0.047269
0.032316,0.097911,0.051855
0.039307,0.10841,0.054
0.041918,0.11378,0.055058
0.043229,0.12111,0.05778
0.043581,0.12599,0.059105
0.04295,0.12872,0.05914
0.04121,0.13031,0.059357
0.041406,0.13895,0.062724
0.04744,0.15347,0.066185
0.047744,0.15574,0.066747
0.049675,0.15866,0.065737
0.051298,0.16078,0.064406
0.052203,0.16548,0.065113
0.056339,0.17041,0.063766
0.055028,0.16603,0.061184
0.055904,0.16667,0.058398
0.05575,0.17039,0.058336
0.054797,0.17152,0.057757
0.053026,0.17038,0.056002
0.054031,0.18233,0.060251
0.053519,0.18497,0.059605
0.049637,0.18409,0.059162
0.039188,0.16662,0.053563
0.037151,0.16706,0.052149
0.029789,0.16247,0.051961
0.028738,0.16203,0.04994
0.024147,0.15716,0.049013
0.025544,0.17489,0.054166
0.023172,0.17709,0.053498
0.016617,0.17209,0.052867
0.012293,0.18246,0.057862
0.0065425,0.18912,0.060531
0.0066135,0.20028,0.062958
0.010288,0.21782,0.065149
0.0084908,0.21549,0.061579
0.006732,0.22076,0.063633
0.01222,0.24521,0.06806
0.012364,0.24543,0.065473
0.012427,0.24535,0.062911
0.0063437,0.23092,0.055189
0.00055446,0.22629,0.053368
-0.0018446,0.22734,0.054147
-0.0012381,0.23048,0.052511
0.00062587,0.23099,0.05237
-2.1e-05,0.23265,0.053029
-0.0042492,0.22284,0.049585
-0.0070059,0.20634,0.043788
-0.011939,0.19884,0.041772
-0.01343,0.19988,0.040894
-0.016184,0.18852,0.037626
-0.015388,0.18814,0.036224
-0.013169,0.19392,0.035605
-0.012131,0.18381,0.027157
-0.011242,0.18607,0.028082
0.010448,0.25107,0.031739
0.027143,0.2796,0.021618
0.042404,0.29901,0.0078298
0.04811,0.30322,-0.0058204
0.055774,0.3213,-0.010774
0.054435,0.31062,-0.022212
0.051559,0.30172,-0.031397
0.050684,0.29863,-0.029565
0.054155,0.3009,-0.026441
0.052429,0.30064,-0.02456
0.049527,0.29536,-0.020125
0.044282,0.27161,-0.020518
0.036195,0.2321,-0.023026
0.027539,0.22824,-0.016477
0.021301,0.20999,-0.017647
0.016917,0.20325,-0.012984
0.0075039,0.19788,-0.0067254
-0.00060082,0.20012,-0.0052937
-0.013425,0.18806,-0.0051497
-0.017752,0.1801,2.2458e-05
-0.026459,0.16665,-0.0015353
-0.027476,0.16317,-0.0026715
-0.032718,0.16127,-0.0021877
-0.031477,0.14768,-0.0080512
-0.036201,0.14333,-0.012419
-0.045676,0.15007,-0.022606
-0.045158,0.14623,-0.0064278
-0.041755,0.14329,-0.0044334
-0.040926,0.15052,-0.013299
-0.038078,0.14885,-0.023979
-0.07485,0.19227,-0.056579
-0.059924,0.14654,-0.026191
-0.050819,0.14118,-0.020041
-0.039759,0.12715,-0.025519
-0.042474,0.10771,-0.026274
-0.052959,0.11173,-0.029804
-0.053235,0.10457,-0.029357
-0.041193,0.11242,-0.034843
-0.038731,0.11295,-0.032602
-0.039749,0.11218,-0.031741
-0.027289,0.10664,-0.031396
-0.028068,0.097899,-0.034317
-0.039592,0.10857,-0.037494
-0.030153,0.10898,-0.032045
-0.028921,0.12097,-0.036135
-0.025074,0.11147,-0.03312
-0.027185,0.12595,-0.036283
-0.02457,0.13516,-0.039465
-0.019831,0.13312,-0.040061
-0.013368,0.12529,-0.038758
-0.0061775,0.12622,-0.04149
-0.007979,0.12572,-0.044355
-0.0046297,0.12572,-0.05015
0.0032288,0.11287,-0.054668
0.0036851,0.099996,-0.05811
0.0062296,0.092827,-0.05827
0.0030127,0.081247,-0.055452
-0.00054525,0.094363,-0.050965
0.0082515,0.10868,-0.046403
0.010714,0.12068,-0.050928
0.016704,0.12761,-0.053217
0.020373,0.1211,-0.056838
0.016659,0.1384,-0.056534
0.022739,0.13163,-0.061699
0.031377,0.13154,-0.063351
0.036548,0.12945,-0.060068
0.036296,0.14531,-0.061258
0.037304,0.14144,-0.060635
0.038051,0.14846,-0.064972
0.040393,0.16652,-0.0664
0.039613,0.17486,-0.062673
0.037838,0.18014,-0.059454
0.044283,0.17855,-0.06119
0.038591,0.1779,-0.061809
0.025776,0.20025,-0.075513
0.024888,0.20871,-0.07289
0.021699,0.2241,-0.079675
0.022886,0.21608,-0.082052
0.020316,0.21435,-0.077774
0.020518,0.22317,-0.076239
0.022726,0.23171,-0.080413
0.030586,0.23501,-0.080826
0.026099,0.25072,-0.084688
0.029457,0.2504,-0.082493
0.021579,0.26008,-0.080415
0.029438,0.25262,-0.07782
0.025493,0.25348,-0.079813
0.029753,0.24888,-0.074521
0.020384,0.26909,-0.082015
0.024665,0.26918,-0.084898
0.018363,0.27934,-0.089687
0.020067,0.26283,-0.084874
0.017404,0.26298,-0.08471
0.0041722,0.27904,-0.089894
-0.00040915,0.28536,-0.089399
0.0032175,0.28004,-0.080867
0.0099306,0.26006,-0.069921
0.015003,0.25128,-0.068988
0.0051497,0.25692,-0.075421
0.0026896,0.26349,-0.085857
0.0050287,0.26048,-0.093267
0.0087772,0.25498,-0.098094
0.0072356,0.25122,-0.10156
0.015781,0.2305,-0.10213
0.018199,0.24804,-0.10587
0.023493,0.26058,-0.10414
0.022061,0.25836,-0.10039
0.01655,0.24555,-0.096373
0.017016,0.23731,-0.10284
0.011092,0.25248,-0.11791
0.016484,0.24054,-0.11469
0.028678,0.24873,-0.11109
0.045171,0.25228,-0.10271
0.043168,0.27006,-0.11168
0.048864,0.26707,-0.11519
0.054531,0.26177,-0.11606
0.061827,0.26313,-0.11062
0.074222,0.26003,-0.10827
0.07884,0.26331,-0.10924
0.079182,0.27397,-0.11275
0.077646,0.2766,-0.11411
0.072908,0.28733,-0.11473
0.07533,0.29721,-0.11655
0.073493,0.3075,-0.11569
0.07125,0.32086,-0.11891
0.072903,0.32061,-0.12091
0.071594,0.31632,-0.11804
0.066308,0.32506,-0.12112
0.065034,0.32063,-0.11821
0.057591,0.33523,-0.11952
0.05422,0.34179,-0.12505
0.063562,0.34873,-0.12001
0.063221,0.3568,-0.12303
0.064853,0.35379,-0.1214
0.06439,0.35166,-0.12125
0.059804,0.35815,-0.12672
0.055566,0.36473,-0.12672
0.05117,0.37211,-0.12648
0.061301,0.36104,-0.12744
0.058262,0.35399,-0.12441
0.053514,0.35124,-0.12029
0.045749,0.35592,-0.12095
0.045017,0.36171,-0.12358
0.047164,0.35618,-0.12201
0.039807,0.36158,-0.11806
0.038502,0.35759,-0.11596
0.034528,0.35648,-0.1166
0.028995,0.35628,-0.11743
0.024281,0.36116,-0.11629
0.014564,0.36059,-0.11783
0.013959,0.36013,-0.11697
0.014184,0.35753,-0.11216
0.011134,0.35816,-0.11014
0.0045224,0.36713,-0.11451
0.0031093,0.37226,-0.11425
-0.002931,0.37015,-0.11665
0.0034273,0.35938,-0.114
0.00072414,0.35768,-0.1122
-0.002815,0.35972,-0.11103
-0.0031807,0.35952,-0.11418
-0.0039213,0.35554,-0.11176
-0.0092194,0.35004,-0.11528
-0.0054779,0.34753,-0.11567
-0.0064463,0.34986,-0.11455
-0.0090239,0.35424,-0.12145
-0.018068,0.36962,-0.12149
-0.024539,0.3713,-0.11931
-0.026652,0.37455,-0.12463
-0.03567,0.3919,-0.1273
-0.038222,0.40547,-0.13119
-0.044582,0.41631,-0.13457
-0.046179,0.41437,-0.1399
-0.03715,0.40878,-0.14401
-0.036184,0.41494,-0.14603
-0.038392,0.4169,-0.15459
-0.033414,0.40581,-0.1507
