dB_E,dB_N,dB_Z
-0.095337,-0.5062,0.64917
-0.073336,-0.4398,0.57792
-0.021827,-0.43248,0.57116
0.018975,-0.42489,0.53614
0.072435,-0.48097,0.56483
0.092091,-0.46811,0.51977
0.10254,-0.45464,0.45476
0.15158,-0.44419,0.41095
0.13684,-0.44539,0.39896
0.14123,-0.4435,0.38488
0.1501,-0.44259,0.37592
0.13125,-0.44378,0.37838
0.13412,-0.44328,0.3792
0.13807,-0.42191,0.3436
0.15968,-0.42904,0.34798
0.17334,-0.42917,0.33815
0.17755,-0.43097,0.3351
0.16065,-0.42998,0.33913
0.1686,-0.42813,0.31455
0.14807,-0.42741,0.33032
0.14764,-0.42232,0.31426
0.13356,-0.41564,0.30368
0.14145,-0.4155,0.29999
0.1403,-0.41006,0.30463
0.14593,-0.3826,0.26284
0.16451,-0.38742,0.26609
0.11642,-0.37106,0.22712
0.14274,-0.38835,0.25316
0.15696,-0.35119,0.19958
0.1784,-0.34611,0.18223
0.1873,-0.32849,0.15106
0.16142,-0.35249,0.18391
0.15326,-0.38131,0.21918
0.12944,-0.39395,0.24285
0.13822,-0.41034,0.25524
0.12682,-0.42539,0.2755
0.12311,-0.42882,0.27742
0.12207,-0.42746,0.26665
0.12571,-0.42571,0.25502
0.12032,-0.41262,0.25297
0.125,-0.4266,0.25759
0.1197,-0.43693,0.26543
0.11124,-0.44268,0.27401
0.094458,-0.45304,0.30736
0.096061,-0.45721,0.30762
0.078992,-0.45014,0.29216
0.072749,-0.4359,0.26637
0.062721,-0.43278,0.27165
0.061908,-0.41869,0.25712
0.065177,-0.41494,0.24469
0.050588,-0.38956,0.21669
0.051606,-0.36717,0.19294
0.045384,-0.35552,0.18647
0.046744,-0.34356,0.17251
0.03796,-0.33803,0.1616
0.030473,-0.31002,0.11173
0.036894,-0.28803,0.082798
0.051778,-0.24779,0.039669
0.021403,-0.24257,0.02912
0.021147,-0.22156,0.005558
0.029732,-0.2074,-0.017978
0.025889,-0.19596,-0.026381
0.0096979,-0.196,-0.018127
-0.00053786,-0.19785,-0.0098468
-0.0046689,-0.18693,-0.030541
-0.0014558,-0.18702,-0.019282
0.002648,-0.20334,0.018224
0.010296,-0.19552,-0.002084
0.007578,-0.18684,-0.013973
0.0025222,-0.18837,0.0040569
0.0067226,-0.19371,0.013125
0.013251,-0.19839,0.030869
0.014323,-0.20439,0.042589
0.017884,-0.20961,0.048403
0.017284,-0.20759,0.052301
0.022032,-0.20895,0.053416
0.020396,-0.20959,0.058733
0.024679,-0.20653,0.057636
0.025299,-0.20285,0.056106
0.029112,-0.20296,0.065769
0.03562,-0.20824,0.081241
0.039556,-0.20757,0.074451
0.035984,-0.20452,0.079243
0.044525,-0.20994,0.099902
0.046844,-0.20906,0.088483
0.040322,-0.19432,0.074329
0.043709,-0.19469,0.080052
0.043632,-0.19566,0.085501
0.050985,-0.19702,0.093722
0.055031,-0.19284,0.092158
0.054183,-0.18873,0.08709
0.059745,-0.19717,0.10395
0.060575,-0.19656,0.10848
0.066232,-0.19496,0.11002
0.069481,-0.19783,0.11424
0.067541,-0.19376,0.11441
0.071488,-0.19368,0.11431
0.072911,-0.19656,0.12561
0.077235,-0.2005,0.13395
0.081157,-0.20425,0.1415
0.084242,-0.20315,0.14102
0.08659,-0.20281,0.14415
0.089375,-0.20294,0.15039
0.093353,-0.20383,0.15602
0.10107,-0.21288,0.17709
0.10094,-0.20414,0.15756
0.10182,-0.20337,0.16018
0.10459,-0.20461,0.16389
0.097061,-0.19227,0.14041
0.091747,-0.17716,0.11729
0.09248,-0.17557,0.12172
0.098922,-0.17622,0.12987
0.10532,-0.17775,0.1376
0.1128,-0.1801,0.14443
0.12585,-0.19119,0.17632
0.12415,-0.18666,0.16584
0.1293,-0.18245,0.15551
0.12404,-0.17291,0.13194
0.11378,-0.17312,0.12555
0.11407,-0.1759,0.13502
0.12282,-0.18394,0.14254
0.12545,-0.17096,0.13814
0.12842,-0.1774,0.14272
0.12895,-0.17815,0.14187
0.12683,-0.17233,0.13946
0.12758,-0.16013,0.12625
0.12436,-0.16154,0.12731
0.12552,-0.16611,0.13843
0.13038,-0.16569,0.1475
0.1301,-0.16555,0.14482
0.13067,-0.16185,0.14244
0.1364,-0.16687,0.15464
0.1376,-0.16669,0.15805
0.13811,-0.16261,0.1522
0.14007,-0.1597,0.14964
0.13878,-0.15447,0.14402
0.13659,-0.14862,0.13861
0.13946,-0.1451,0.1383
0.14087,-0.14072,0.13595
0.14738,-0.14399,0.1552
0.15012,-0.14593,0.16493
0.15232,-0.14674,0.1677
0.14961,-0.14134,0.15742
0.14455,-0.13404,0.15003
0.14131,-0.12929,0.14725
0.14192,-0.12969,0.15711
0.1445,-0.1273,0.16497
0.15077,-0.12916,0.16897
0.14811,-0.12341,0.165
0.15246,-0.12806,0.18686
0.14901,-0.11973,0.16204
0.15654,-0.12708,0.16853
0.14288,-0.10981,0.14402
0.12993,-0.10043,0.12139
0.11946,-0.089429,0.093588
0.11169,-0.086256,0.08787
0.10972,-0.080118,0.083616
0.11283,-0.080267,0.09801
0.11624,-0.080482,0.10756
0.12532,-0.08324,0.11841
0.12553,-0.080376,0.1356
0.14011,-0.090918,0.16548
0.14952,-0.090781,0.1845
0.15688,-0.091992,0.19397
0.16032,-0.09208,0.20279
0.16426,-0.095876,0.21797
0.16496,-0.094307,0.22147
0.16609,-0.095973,0.2355
0.17607,-0.099852,0.2583
0.18218,-0.1023,0.26453
0.18224,-0.1005,0.27078
0.19541,-0.1084,0.30463
0.20635,-0.11141,0.32164
0.21936,-0.11506,0.3403
0.23305,-0.11751,0.36397
0.25875,-0.12499,0.39027
0.29692,-0.12483,0.41977
0.32088,-0.11824,0.41324
0.32005,-0.13105,0.44214
0.34101,-0.12963,0.45971
0.36022,-0.11525,0.47109
0.33989,-0.10437,0.43474
0.36511,-0.10424,0.48626
0.37744,-0.11581,0.46286
0.36442,-0.1177,0.44362
