Z,Y,X,Date
-0.162279,-0.058612,-0.357474,2024-05-09 23:47:00
-0.192021,-0.0267768,-0.339232,2024-05-09 23:48:00
-0.197564,-0.0137423,-0.336314,2024-05-09 23:49:00
-0.191655,-0.0154799,-0.311793,2024-05-09 23:50:00
-0.193724,-0.00624573,-0.285597,2024-05-09 23:51:00
-0.191938,-0.00794753,-0.265436,2024-05-09 23:52:00
-0.192173,-0.0125887,-0.264714,2024-05-09 23:53:00
-0.188955,-0.0159715,-0.253897,2024-05-09 23:54:00
-0.187258,-0.0125521,-0.246761,2024-05-09 23:55:00
-0.185674,-0.0149245,-0.246954,2024-05-09 23:56:00
-0.185731,-0.0113275,-0.248911,2024-05-09 23:57:00
-0.184268,-0.0132879,-0.250264,2024-05-09 23:58:00
-0.172638,-0.0317203,-0.272851,2024-05-09 23:59:00
-0.169209,-0.036979,-0.284432,2024-05-10 00:00:00
-0.169103,-0.0379985,-0.303791,2024-05-10 00:01:00
-0.17921,-0.0372386,-0.316795,2024-05-10 00:02:00
-0.18436,-0.0355208,-0.329477,2024-05-10 00:03:00
-0.189252,-0.0308771,-0.33649,2024-05-10 00:04:00
-0.20572,-0.0173444,-0.337231,2024-05-10 00:05:00
-0.214532,-0.0125868,-0.33442,2024-05-10 00:06:00
-0.205832,-0.0254076,-0.373334,2024-05-10 00:07:00
-0.192253,-0.0528658,-0.389734,2024-05-10 00:08:00
-0.227795,-0.0273365,-0.431032,2024-05-10 00:09:00
-0.235461,-0.02482,-0.446278,2024-05-10 00:10:00
-0.208491,-0.0427384,-0.460239,2024-05-10 00:11:00
-0.204542,-0.0376765,-0.457754,2024-05-10 00:12:00
-0.197985,-0.0513493,-0.470507,2024-05-10 00:13:00
-0.184893,-0.0756967,-0.526239,2024-05-10 00:14:00
-0.205988,-0.0558716,-0.526475,2024-05-10 00:15:00
-0.188533,-0.0690138,-0.549304,2024-05-10 00:16:00
-0.174919,-0.0713704,-0.498944,2024-05-10 00:17:00
-0.218015,-0.0718691,-0.616868,2024-05-10 00:18:00
-0.114385,-0.143317,-0.725924,2024-05-10 00:19:00
-0.161306,-0.0158982,-0.440883,2024-05-10 00:20:00
-0.158486,0.145523,0.0563719,2024-05-10 00:21:00
-0.0541572,0.141794,0.128242,2024-05-10 00:22:00
-0.202127,0.0855382,-0.0217971,2024-05-10 00:23:00
-0.192659,-0.142014,-0.262348,2024-05-10 00:24:00
-0.271052,-0.050857,-0.4472,2024-05-10 00:25:00
-0.584727,0.138861,-0.612511,2024-05-10 00:26:00
-0.645456,0.137997,-0.686148,2024-05-10 00:27:00
-0.602466,0.116061,-0.647875,2024-05-10 00:28:00
-0.530022,0.0278039,-0.752469,2024-05-10 00:29:00
-0.374076,-0.141722,-0.788348,2024-05-10 00:30:00
-0.282041,-0.308444,-1.00551,2024-05-10 00:31:00
-0.175716,-0.441083,-1.1024,2024-05-10 00:32:00
-0.0480618,-0.571305,-1.35233,2024-05-10 00:33:00
-0.125545,-0.608592,-1.55021,2024-05-10 00:34:00
-0.038166,-0.742912,-1.69013,2024-05-10 00:35:00
0.0347057,-0.827686,-2.10395,2024-05-10 00:36:00
0.0105822,-0.905119,-2.05819,2024-05-10 00:37:00
0.0469818,-0.968158,-2.37515,2024-05-10 00:38:00
0.118484,-1.05935,-2.43777,2024-05-10 00:39:00
0.0391202,-1.06464,-2.78178,2024-05-10 00:40:00
-0.0444372,-1.09459,-3.07861,2024-05-10 00:41:00
-0.245334,-0.952844,-3.10996,2024-05-10 00:42:00
-0.281013,-0.936383,-3.15589,2024-05-10 00:43:00
-0.324207,-0.918814,-3.01049,2024-05-10 00:44:00
-0.141401,-1.06563,-2.92817,2024-05-10 00:45:00
-0.0344846,-1.12679,-2.97405,2024-05-10 00:46:00
-0.0887551,-1.08315,-2.84517,2024-05-10 00:47:00
-0.107586,-1.06077,-2.72395,2024-05-10 00:48:00
-0.180431,-0.972345,-2.71863,2024-05-10 00:49:00
-0.2442,-0.830378,-2.32386,2024-05-10 00:50:00
-0.251212,-0.685346,-2.21333,2024-05-10 00:51:00
-0.588429,-0.427778,-2.10415,2024-05-10 00:52:00
-0.754536,-0.388574,-2.50932,2024-05-10 00:53:00
-0.996355,-0.264179,-2.5915,2024-05-10 00:54:00
-1.12272,-0.158722,-2.85646,2024-05-10 00:55:00
-1.21387,-0.0656805,-2.93767,2024-05-10 00:56:00
-1.22169,-0.0195449,-2.74113,2024-05-10 00:57:00
-1.01971,-0.138743,-2.89367,2024-05-10 00:58:00
-1.16666,-0.0870051,-3.06017,2024-05-10 00:59:00
-1.11978,-0.156848,-3.1469,2024-05-10 01:00:00
-1.12989,-0.0650374,-3.06506,2024-05-10 01:01:00
-1.17716,-0.0317794,-3.05339,2024-05-10 01:02:00
-1.04789,-0.0393309,-2.92548,2024-05-10 01:03:00
-1.12633,0.0455199,-2.83223,2024-05-10 01:04:00
-1.07324,0.004043,-3.0495,2024-05-10 01:05:00
-1.0075,-0.03362,-3.04105,2024-05-10 01:06:00
-0.908076,-0.0996498,-3.05549,2024-05-10 01:07:00
-0.675281,-0.237067,-3.07507,2024-05-10 01:08:00
-0.506621,-0.340385,-3.1098,2024-05-10 01:09:00
-0.310892,-0.511609,-3.1406,2024-05-10 01:10:00
-0.242996,-0.554923,-3.12557,2024-05-10 01:11:00
0.00436045,-0.703035,-3.16814,2024-05-10 01:12:00
0.19489,-0.848037,-3.16768,2024-05-10 01:13:00
0.390289,-0.989973,-3.15446,2024-05-10 01:14:00
0.519516,-1.12713,-3.23286,2024-05-10 01:15:00
0.689455,-1.31601,-3.41217,2024-05-10 01:16:00
1.04089,-1.51726,-3.60958,2024-05-10 01:17:00
1.27743,-1.66039,-3.83688,2024-05-10 01:18:00
1.61176,-1.79568,-4.43726,2024-05-10 01:19:00
1.8653,-2.00584,-4.44271,2024-05-10 01:20:00
1.90346,-1.79837,-4.72989,2024-05-10 01:21:00
2.4118,-1.96031,-4.84547,2024-05-10 01:22:00
2.22767,-1.7169,-4.90212,2024-05-10 01:23:00
2.62592,-1.8159,-4.81762,2024-05-10 01:24:00
2.64968,-1.84562,-4.85597,2024-05-10 01:25:00
2.63067,-1.72633,-4.63979,2024-05-10 01:26:00
2.65281,-1.67029,-4.28765,2024-05-10 01:27:00
2.62259,-1.55469,-4.11526,2024-05-10 01:28:00
2.33577,-1.33262,-3.98323,2024-05-10 01:29:00
2.5303,-1.20938,-3.96492,2024-05-10 01:30:00
2.22694,-0.869015,-4.01613,2024-05-10 01:31:00
2.21135,-0.722119,-3.9405,2024-05-10 01:32:00
2.24686,-0.354293,-3.61366,2024-05-10 01:33:00
2.18918,-0.267791,-3.31272,2024-05-10 01:34:00
2.46674,-0.382638,-3.10951,2024-05-10 01:35:00
2.11386,-0.20701,-2.99376,2024-05-10 01:36:00
2.37341,-0.161115,-3.04475,2024-05-10 01:37:00
2.24997,0.0243159,-2.96475,2024-05-10 01:38:00
2.39095,0.170566,-3.05815,2024-05-10 01:39:00
2.57669,0.262637,-3.08502,2024-05-10 01:40:00
2.6403,0.302584,-3.03176,2024-05-10 01:41:00
2.62269,0.337726,-2.93473,2024-05-10 01:42:00
